expiry,entry_ts,side,strike,entry_spot,range_5m_at_entry,entry_premium,lots,qty,exit_ts,exit_premium,exit_spot,exit_reason,minutes_held,gross_pnl,net_pnl,return_pct
10_OCT_24,2024-10-10T09:55:00+05:30,PE,25050,25040.55,40.2,64.9,4,260,2024-10-10T10:04:00+05:30,46.8,25068.55,SL,9,-4732.0,-4792.0,-28.02
10_OCT_24,2024-10-10T10:20:00+05:30,CE,25100,25095.15,36.95,42.75,7,455,2024-10-10T10:33:00+05:30,56.0,25112.95,TP,13,5983.25,5923.25,30.72
10_OCT_24,2024-10-10T10:38:00+05:30,CE,25050,25064.35,51.6,44.85,6,390,2024-10-10T10:53:00+05:30,33.25,25038.45,SL,15,-4563.0,-4623.0,-26.06
10_OCT_24,2024-10-10T10:57:00+05:30,PE,25050,25071.8,33.35,36.04,8,520,2024-10-10T11:05:00+05:30,48.3,25048.4,TP,8,6323.2,6263.2,33.69
17_OCT_24,2024-10-17T09:34:00+05:30,CE,24900,24903.8,39.95,52.7,5,325,2024-10-17T09:39:00+05:30,38.1,24862.4,SL,5,-4777.5,-4837.5,-27.87
17_OCT_24,2024-10-17T09:45:00+05:30,CE,24800,24823.0,41.3,64.65,4,260,2024-10-17T10:05:00+05:30,62.8,24817.0,TIME_STOP,20,-507.0,-567.0,-3.01
17_OCT_24,2024-10-17T10:56:00+05:30,CE,24800,24820.45,30.05,52.2,5,325,2024-10-17T11:07:00+05:30,39.1,24811.2,SL,11,-4290.0,-4350.0,-25.26
24_OCT_24,2024-10-24T09:36:00+05:30,CE,24350,24373.15,45.9,63.25,4,260,2024-10-24T09:43:00+05:30,45.05,24345.1,SL,7,-4758.0,-4818.0,-28.91
24_OCT_24,2024-10-24T09:56:00+05:30,PE,24400,24396.05,36.5,53.05,5,325,2024-10-24T10:00:00+05:30,39.25,24415.6,SL,4,-4517.5,-4577.5,-26.18
24_OCT_24,2024-10-24T10:08:00+05:30,PE,24450,24444.15,38.75,49.55,6,390,2024-10-24T10:28:00+05:30,44.5,24440.8,TIME_STOP,20,-2008.5,-2068.5,-10.38
31_OCT_24,2024-10-31T09:37:00+05:30,CE,24250,24237.95,31.55,51.25,6,390,2024-10-31T09:45:00+05:30,68.45,24284.25,TP,8,6669.0,6609.0,33.33
31_OCT_24,2024-10-31T09:45:00+05:30,PE,24300,24284.25,34.15,47.0,6,390,2024-10-31T09:59:00+05:30,31.7,24295.05,SL,14,-6006.0,-6066.0,-32.73
